% Model:              Sph.mph
% Version:            COMSOL 6.1.0.282
% Date:               Jan 27 2025, 17:23
% Dimension:          3
% Nodes:              8372
% Expressions:        3
% Description:        magnetization deviation, X component, magnetization deviation, Y component, magnetization deviation, Z component
% Length unit:        nm
% x                       y                        z                        dm2X (1) @ lambda=2E-9                            dm2Y (1) @ lambda=2E-9                            dm2Z (1) @ lambda=2E-9
2.2874954594590864E-7     2.540141841313909E-7     1.0334145674030084E-7    0.031040446278255723+0.01211380158509411i         0.01211380158508071-0.031040446278247032i         0
2.2441657987159002E-7     2.7667928797627474E-7    1.025902081454275E-7     0.031040446061241476+0.012113801500402414i        0.01211380150038904-0.03104044606123262i          0
2.266081108942338E-7      2.8028209983696856E-7    1.3011440267470174E-7    0.03104044833048088+0.012113802385992477i         0.012113802385979188-0.03104044833047208i         0
2.3094107696855244E-7     2.576169959920848E-7     1.3086565126957507E-7    0.031040448547495124+0.012113802470684259i        0.012113802470670912-0.031040448547486433i        0
2.7892077073126313E-7     2.6642451561934127E-7    2.994229918441227E-8     0.031040440263731497+0.012113799237874104i        0.01211379923786073-0.031040440263722584i         0
2.988957016504211E-7      2.460160993591856E-7     1.4496804978949075E-8    0.031040439170744644+0.012113798811326602i        0.012113798811313255-0.03104043917073584i         0
2.626705580179557E-7      2.6134171859147487E-7    4.7113322007562757E-8    0.031040441670324558+0.01211379978680919i         0.012113799786795873-0.031040441670315756i        0
2.6257193811679927E-7     2.3581694513370914E-7    5.068323983916133E-8     0.031040442125369796+0.012113799964394448i        0.012113799964381129-0.031040442125360772i        0
2.9976261695019996E-7     2.4465540240331513E-7    -1.651085516999484E-8    0.031040436607867445+0.012113797811141724i        0.012113797811128268-0.031040436607858532i        0
3.6928332516725404E-7     -7.842611092322525E-8    7.659780640900498E-8     0.031040446565693897+0.012113801697269201i        0.012113801697255911-0.031040446565684984i        0
3.849062860417066E-7      -3.989490458865876E-8    -2.1595864570549634E-8   0.031040438222836288+0.012113798441397164i        0.012113798441383848-0.031040438222827486i        0
3.8218584599052575E-7     -2.4950017289379625E-8   3.625524514332992E-8     0.031040442923698133+0.012113800275949004i        0.012113800275935687-0.031040442923689387i        0
3.8218584599052575E-7     -4.445902904925179E-8    1.6746233383457756E-8    0.031040441425718556+0.01211379969134952i         0.012113799691336257-0.031040441425709865i        0
3.7264740000629264E-7     -3.7815599590434395E-8   -4.6730819595282335E-9   0.031040439576609465+0.012113798969718821i        0.012113798969705502-0.031040439576600663i        0
3.718008895062685E-7      6.97005630087818E-8      7.595728373474525E-8     0.03104044559762305+0.01211380131947131i          0.012113801319457936-0.03104044559761425i         0
3.758937642046936E-7      4.028620267191152E-8     7.810228989136157E-8     0.03104044597163312+0.012113801465431857i         0.012113801465418482-0.031040445971624208i        0
3.4636248410610427E-7     7.374543103094662E-8     1.1677599314772264E-7    0.031040448881880657+0.012113802601181004i        0.012113802601167713-0.03104044888187202i         0
3.614414256395639E-7      8.721093011187677E-8     1.0017275214831334E-7    0.031040447466563925+0.012113802048841497i        0.012113802048828178-0.03104044746655518i         0
2.948449796825627E-7      1.7711567801243898E-7    8.814682756444025E-8     0.031040445701287857+0.012113801359927328i        0.012113801359914066-0.031040445701279167i        0
3.176651824415778E-7      1.3260698859448023E-7    1.2704750991352642E-7    0.031040449278721467+0.01211380275605159i         0.012113802756038244-0.031040449278712554i        0
3.0180785750617634E-7     1.4909160662807138E-7    1.2167418538140318E-7    0.03104044868070649+0.012113802522671118i         0.012113802522657854-0.031040448680697743i        0
3.391682097619614E-7      1.5244120345262773E-7    8.438024084881732E-8     0.031040445680033193+0.012113801351632486i        0.012113801351619168-0.03104044568002439i         0
3.4074695240465753E-7     1.3421029196408197E-7    1.0605039443459555E-7    0.03104044759741442+0.012113802099907029i         0.012113802099893711-0.031040447597405617i        0
3.17415965001517E-7       1.690413027822445E-7     9.862975184355097E-8     0.03104044669193798+0.012113801746537065i         0.012113801746523746-0.031040446691929287i        0
2.764508826464449E-7      1.4698151072777482E-7    1.3454780738632753E-7    0.031040449683745606+0.012113802914115745i        0.012113802914102372-0.031040449683736693i        0
3.1092748754809187E-7     1.0618960590924296E-7    1.315164202000191E-7     0.03104044979332667+0.012113802956880759i         0.012113802956867469-0.03104044979331798i         0
3.3979075085748943E-7     1.061642840303807E-7     9.33611523044989E-8      0.03104044671577332+0.012113801755839062i         0.012113801755825687-0.031040446715764627i        0
3.247118093240297E-7      9.269878494945053E-8     1.0996439330390822E-7    0.031040448131090546+0.012113802308178708i        0.012113802308165417-0.031040448131081637i        0
2.686204206505965E-7      1.696110729318782E-7     1.1520209834120257E-7    0.031040447912499294+0.012113802222871676i        0.012113802222858329-0.03104044791249049i         0
2.9662675729701344E-7     2.204317601882136E-7     -2.433418502658637E-8    0.03104043609957974+0.012113797612777994i         0.012113797612764703-0.03104043609957094i         0
3.152826049340013E-7      2.0943159933882704E-7    -4.013147286874943E-8    0.03104043491468489+0.012113797150362664i         0.012113797150349319-0.031040434914676146i        0
3.3626058047578863E-7     1.1511675032876454E-8    1.8362891434242185E-7    0.031040454787842835+0.012113804906033643i        0.012113804906020324-0.031040454787834033i        0
3.361290261821361E-7      -2.1237381075883782E-8   1.8310505099444433E-7    0.031040454947947632+0.012113804968515971i        0.01211380496850268-0.031040454947938775i         0
3.320203200809425E-7      2.7460536288816567E-8    1.6203918457610508E-7    0.03104045288308438+0.012113804162685333i         0.012113804162672015-0.031040452883075633i        0
3.3555003157725324E-7     -2.703653138809687E-8    1.606824425115471E-7     0.031040453120900105+0.012113804255494888i        0.012113804255481515-0.031040453120891303i        0
3.277010869884199E-7      6.384660949874547E-9     1.4808587491246655E-7    0.031040451842640437+0.01211380375664307i         0.012113803756629724-0.0310404518426318i          0
3.139353263673101E-7      4.6806706505489334E-8    2.1549572362783957E-7    0.03104045714397956+0.012113805825536396i         0.012113805825523079-0.031040457143970926i        0
3.0553424188880897E-7     7.347022541212997E-8     1.6844693116570187E-7    0.031040453046109733+0.01211380422630735i         0.012113804226294059-0.03104045304610093i         0
3.0864957503178575E-7     7.805858525611169E-8     2.143534867930482E-7     0.031040456838060566+0.012113805706148794i        0.01211380570613553-0.031040456838051934i         0
3.044887509481307E-7      8.87732429068122E-8      1.8889442409722729E-7    0.031040454644946702+0.012113804850267198i        0.012113804850253852-0.031040454644937956i        0
2.938434728657381E-7      1.982767285058462E-8     2.051373490963368E-7     0.031040456389730308+0.012113805531184074i        0.012113805531170838-0.03104045638972156i         0
3.0846920976046125E-7     4.1894118451008975E-8    1.7280178794266835E-7    0.031040453613435617+0.012113804447711105i        0.012113804447697815-0.031040453613426815i        0
2.950693290777409E-7      4.0689122161005095E-8    2.2624155501519124E-7    0.031040458015516904+0.012113806165661219i        0.012113806165647903-0.031040458015508046i        0
2.594523824128581E-7      8.027503458048311E-8     2.2746422136295448E-7    0.031040457759756845+0.012113806065848713i        0.012113806065835366-0.031040457759747987i        0
3.1270947015530734E-7     2.5945257195068856E-8    1.943915177089851E-7     0.03104045551819485+0.012113805191059748i         0.012113805191046375-0.031040455518185885i        0
2.803752546015114E-7      9.244892727691726E-8     2.1959417923496396E-7    0.03104045709561457+0.012113805806661474i         0.012113805806648073-0.031040457095605656i        0
2.7621443051785634E-7     1.0316358492761779E-7    1.9413511653914304E-7    0.03104045490250115+0.012113804950780044i         0.012113804950766728-0.031040454902492125i        0
2.6886070555356325E-7     5.976710821519328E-8     2.3296936030839044E-7    0.03104045837373847+0.012113806305460387i         0.01211380630544704-0.031040458373729724i         0
3.849062860417066E-7      -2.038589282878659E-8    -4.110487633042178E-8    0.03104043648180303+0.012113797761943917i         0.012113797761930629-0.03104043648179417i         0
3.352319914981748E-7      1.8117741164523988E-7    -1.0782535148394422E-8   0.031040437589023234+0.012113798194046167i        0.012113798194032764-0.03104043758901443i         0
2.983020942512321E-7      2.0245438804710504E-7    5.469742423453812E-8     0.031040442777442296+0.01211380021887148i         0.012113800218858134-0.031040442777433494i        0
3.1837564507154654E-7     2.0757074524471505E-7    3.568201219747635E-8     0.03104044122941115+0.012113799614738912i         0.012113799614725567-0.031040441229402346i        0
3.4524536195087104E-7     1.5687183824478725E-7    3.812232933157105E-8     0.031040441831294268+0.012113799849628976i        0.01211379984961563-0.031040441831285355i         0
2.804715573001614E-7      2.1161750626483252E-7    3.895385319999155E-8     0.03104044135803703+0.012113799664936215i         0.012113799664922898-0.03104044135802817i         0
3.005451081204759E-7      2.1673386346244258E-7    1.9938441162929766E-8    0.0310404398100041+0.012113799060803149i          0.012113799060789746-0.031040439809995355i        0
3.3440668081225755E-7     1.8301445427689894E-7    2.075832372831521E-8     0.031040440193325962+0.012113799210397787i        0.01211379921038444-0.031040440193317163i         0
3.1041900318754806E-7     1.893961649842297E-7     -1.8605865004985955E-8   0.031040436811289467+0.012113797890528862i        0.012113797890515542-0.031040436811280554i        0
2.949717425048138E-7      1.725296605678637E-7     6.197494715043145E-8     0.03104044355763459+0.012113800523348126i         0.012113800523334809-0.031040443557625565i        0
2.6647921537389824E-7     1.661949985560297E-7     5.5538513435249507E-8    0.031040442974255924+0.012113800295679635i        0.012113800295666315-0.03104044297424701i         0
3.2588397446374177E-7     1.5150340173336213E-7    6.03235407166255E-8      0.03104044364757373+0.012113800558447688i         0.012113800558434341-0.03104044364756493i         0
2.917631555505602E-7      2.0039632583361621E-7    -2.808577162822893E-9    0.03104043799618504+0.012113798352944606i         0.012113798352931289-0.031040437996176184i        0
2.6213416319302557E-7     1.902190238420604E-7     3.2910418559982987E-8    0.03104044093267132+0.012113799498933622i         0.012113799498920219-0.03104044093266252i         0
2.666356470905192E-7      1.8626544057424187E-7    6.071676666329684E-9     0.031040438743314+0.012113798644518062i           0.012113798644504743-0.031040438743305143i        0
3.5536225301906115E-7     1.437433503205452E-7     -4.0297189661463895E-8   0.031040435434648815+0.012113797353283001i        0.012113797353269656-0.031040435434640124i        0
3.3298130250907905E-7     1.5644214658987445E-7    -2.07579043164433E-8     0.03104043690802419+0.01211379792828037i          0.012113797928267053-0.03104043690801528i         0
3.5106497826548117E-7     1.4105198392500453E-7    -7.151162869042252E-8    0.031040432846849077+0.012113796343371846i        0.012113796343358529-0.031040432846840164i        0
3.081683141984523E-7      1.646608999288643E-7     -2.858123417303483E-8    0.03104043613028987+0.012113797624762926i         0.012113797624749581-0.031040436130281013i        0
3.641906987600473E-7      -7.570972849319339E-9    -9.470603460441315E-10   0.031040439671240615+0.012113799006649498i        0.012113799006636124-0.031040439671231924i        0
3.8013585829987775E-7     7.167846160778627E-8     3.3861399933284585E-8    0.031040442116682707+0.012113799961004257i        0.012113799960990967-0.03104044211667385i         0
3.8615029177297505E-7     4.2264101270915993E-8    1.6497394330028748E-8    0.03104044087715805+0.012113799477269175i         0.012113799477255858-0.031040440877149304i        0
3.8615029177297505E-7     2.275508951104382E-8     3.6006406089900916E-8    0.031040442618191975+0.012113800156722644i        0.012113800156709216-0.031040442618183173i        0
3.7083841011273596E-7     3.7075325518519934E-8    5.281550027597678E-8     0.031040443876788663+0.01211380064790079i         0.012113800647887472-0.03104044387677986i         0
3.73578504435758E-7       -9.464780824403742E-10   2.6752142531931608E-8    0.03104044195854745+0.012113799899290598i         0.012113799899277251-0.031040441958538483i        0
3.667455354143109E-7      6.648968585539022E-8     5.067049411936045E-8     0.031040443502777487+0.012113800501939746i        0.012113800501926373-0.031040443502768685i        0
3.857832840759899E-7      4.484930416792688E-8     -9.173913593405907E-9    0.031040438728853488+0.01211379863887473i         0.012113798638861438-0.03104043872884474i         0
3.669447159204513E-7      8.043765022541504E-8     1.7965353439457553E-8    0.031040440701549325+0.012113799408736227i        0.01211379940872302-0.031040440701540467i         0
3.3090305595313616E-7     1.3129709924752156E-7    -7.65840676135057E-9     0.03104043814563622+0.012113798411269205i         0.012113798411255941-0.031040438145627527i        0
3.7104225226512797E-7     6.562796731535656E-8     -1.2298587370688293E-8   0.03104043829422809+0.012113798469258422i         0.012113798469245159-0.031040438294219343i        0
3.6971078271746377E-7     1.079703178087357E-7     1.423933182597345E-8     0.031040440229327806+0.012113799224447752i        0.012113799224434407-0.031040440229318948i        0
3.704662512892525E-7      1.0728560342444796E-7    -1.7222322938322294E-8   0.03104043762420528+0.012113798207776284i         0.012113798207762939-0.031040437624196532i        0
3.5328400646311825E-7     1.1859830297819229E-7    -2.719769210637117E-8    0.03104043667226018+0.01211379783627153i          0.012113797836258183-0.031040436672251377i        0
3.761615473847369E-7      8.362199828669622E-8     -3.0122258145212304E-8   0.03104043671844331+0.012113797854294882i         0.012113797854281537-0.031040436718434396i        0
3.379769378498725E-7      1.305823150858314E-7     3.0257685014204724E-8    0.03104044131960488+0.012113799649937718i         0.0121137996499244-0.031040441319595855i          0
3.186155503627432E-7      1.252138785744063E-7     5.2458896399259184E-8    0.031040443135883958+0.01211380035875632i         0.012113800358743002-0.03104044313587527i         0
3.3094358411379454E-7     9.810567235997057E-8     6.382635440135437E-8     0.031040444286702596+0.012113800807873235i        0.012113800807859888-0.031040444286693683i        0
3.4753890480391145E-7     7.594144128807507E-8     4.535116462978401E-8     0.03104044294264869+0.012113800283344602i         0.012113800283331366-0.031040442942639777i        0
3.2925033951210773E-7     1.2194661789639087E-7    9.769005633666509E-9     0.03104043964545305+0.01211379899658558i          0.012113798996572289-0.03104043964544425i         0
3.5087582145030104E-7     1.0993253601134931E-7    2.1691375052941653E-8    0.03104044077719976+0.012113799438259566i         0.012113799438246219-0.031040440777191067i        0
3.4810975465328863E-7     8.239986842802865E-8     2.541739666642576E-8     0.0310404412494225+0.012113799622548568i          0.012113799622535112-0.031040441249413752i        0
3.480371766086362E-7      9.814418640878953E-8     -4.6866808775667196E-8   0.031040435150574437+0.012113797242420484i        0.012113797242407166-0.03104043515056558i         0
3.771327105760776E-7      5.0071389864945014E-8    -8.181496212382223E-8    0.03104043263927614+0.012113796262364739i         0.012113796262351421-0.031040432639267392i        0
3.6380273360037704E-7     9.977327455973867E-8     -9.471810334705864E-8    0.031040431217119715+0.0121137957073559i          0.012113795707342608-0.031040431217110857i        0
3.737953044494413E-7      7.880103581752756E-8     -7.640359952499E-8       0.031040432899155656+0.012113796363784986i        0.012113796363771613-0.031040432899146854i        0
3.5086874044201324E-7     1.1294243943038273E-7    -7.495657402734346E-8    0.031040432735366035+0.012113796299864647i        0.0121137962998513-0.03104043273535729i           0
3.652240830810221E-7      8.192715252198486E-8     -4.979137481450834E-8    0.031040435062217497+0.012113797207938442i        0.012113797207925124-0.031040435062208695i        0
3.3020798432759887E-7     1.6913829543661534E-7    -1.0550628383394263E-7   0.031040429785079725+0.012113795148489922i        0.012113795148476575-0.031040429785070812i        0
3.3105221769422125E-7     1.4932660758591506E-7    -8.34201167989515E-8     0.031040431744560164+0.012113795913194053i        0.012113795913180764-0.03104043174455125i         0
3.3085597987075327E-7     1.2121706309129327E-7    -8.68650621358724E-8     0.031040431633076793+0.012113795869686745i        0.012113795869673427-0.031040431633067935i        0
1.464054628713783E-7      3.5481981259602993E-7    3.463897001565515E-8     0.03104043969123634+0.012113799014452947i         0.012113799014439628-0.031040439691227592i        0
1.459184538207037E-7      3.5061681905356636E-7    6.285269161735592E-8     0.031040442058017776+0.01211379993810971i         0.012113799938096447-0.03104044205800892i         0
1.5908646832662356E-7     3.365212765185803E-7     1.8512284976048266E-8    0.031040438505896127+0.012113798551863779i        0.012113798551850432-0.031040438505887273i        0
1.7141271061087072E-7     3.1679027489772004E-7    2.551074696619096E-8     0.031040439248070827+0.01211379884150383i         0.012113798841490456-0.031040439248062025i        0
1.8343584841328115E-7     3.387020888910029E-7     1.2256119046626785E-8    0.031040438048624434+0.012113798373409458i        0.012113798373396111-0.031040438048615632i        0
1.9576209069752828E-7     3.1897108727014255E-7    1.925458103676948E-8     0.031040438790796966+0.012113798663048729i        0.012113798663035386-0.03104043879078811i         0
2.0424661448563246E-7     2.49794389455344E-7      2.0877218700254504E-7    0.031040454980556097+0.012113804981241686i        0.012113804981228368-0.03104045498054735i         0
2.0625331886352034E-7     2.105200591652714E-7     2.260018455010717E-7     0.03104045666173178+0.012113805637334954i         0.012113805637321664-0.03104045666172298i         0
1.9885564576510061E-7     2.3283181549023476E-7    2.3219708984967265E-7    0.03104045701404859+0.01211380577482964i          0.012113805774816322-0.031040457014039843i        0
1.7497666102478067E-7     2.3776236085221003E-7    2.452784241675723E-7     0.031040457995064687+0.01211380615767959i         0.012113806157666215-0.03104045799505583i         0
2.1267985858473134E-7     2.145434379539531E-7     1.8895032165223282E-7    0.031040453580868817+0.01211380443500171i         0.012113804434988364-0.031040453580860015i        0
